tai,acc,trans.at,trans.gc,zAA2.at,zAA2.gc,zAA1.at,zAA1.gc
1,NC_005791,0.1947475478432233,0.23933678314027665,-0.3988082626580973,-0.5003638355534854,0.05445111905691036,1.4997011965813098
1,NC_015573,-0.32017967761046184,-0.07263310750211704,0.23081629892251143,-0.3844688477693434,0.8166560392376057,1.5523593478979318
1,NC_011900,-0.32667632746036834,-0.5022810566219236,0.005140519139330349,0.3370035161300722,0.8877761120494765,1.4971993152553393
1,NC_016930,-0.30381706630468963,0.14434106636355581,0.023290535431719106,-0.2433111761399444,1.2290280305837062,1.140339918493011
1,NC_012225,-0.27473385283102764,-0.1467883885963659,0.006515708322844926,0.4125892591656788,1.258477084228756,2.1115075007510087
1,NC_015732,-0.16749300660981734,-0.28899834154909726,-0.08338558033477146,-0.06509000706318366,0.911058663825882,1.1644444492524613
1,NC_015672,-0.257371079837053,0.20176124174613583,0.077603823450383,-0.017770926339221782,1.7223374766920148,2.404539157109957
1,NC_012982,-0.2030039950376752,-0.013551622252910837,-0.01316615041248441,-0.19673475612763425,0.9588791163595061,1.284299478926501
1,NC_016620,-0.20820533025068325,-0.34256076596942053,-0.11347245878717414,0.3034752451392099,0.7974581654849853,1.593800496575271
1,NC_007677,-0.16312899417381793,-0.14050742990916487,-0.234305695885422,-0.5681268362794794,0.5461434783978224,1.0086487757776683
1,NC_015687,-0.1328047015889883,-0.3412915888194376,-0.16794313183436788,0.13395063174684477,0.5669601190405757,1.9023062205790877
1,NC_011138,-0.20486503754722823,-0.033474415425153135,0.12502765281734252,-0.444376835900306,1.181592778405188,1.190483378893393
1,NC_010519,-0.24967277769166235,0.115873014904343,-0.043351327997602856,-0.1915295138961513,0.633785854438834,1.02630482556593
1,NC_005966,-0.15066612156430625,-0.035684648545761484,-0.2413093954019009,-0.12492800226433338,0.7546924439921859,0.8211403906596815
1,NC_014914,-0.3555820239741187,-0.02867905524189345,0.18340567375132466,0.16683710538999608,1.27208272603412,1.4816391047722945
1,NC_009712,-0.013183373932145276,-0.12151642553590566,-0.38263029147658467,-0.48286432521615313,0.5419850344566675,0.8020458548563045
1,NC_011832,0.0205095965902033,-0.0617696854281967,-0.41863221011723123,-0.4031660825919125,0.5430013252092996,1.0793710060952784
